hope,980
end,1816
human,597
race,335
large,1160
say,5507
open,3645
rope,389
wary,49
walk,1813
toward,3595
willie,233
yet,1190
arrival,38
adult,87
act,448
natural,159
tugboat,5
soke,1
prince,229
eve,302
rob,396
store,573
blind,217
go,14788
somewhere,565
private,365
research,113
thats,9188
department,266
detective,324
sherlock,8
seven,559
pretty,1319
impressive,96
change,885
always,2128
get,14564
away,7564
clean,552
yeah,5650
darn,26
face,6410
couple,1164
physical,98
youve,2015
found,1109
niche,6
respect,271
also,1024
caught,528
way,6162
dont,18810
want,8915
take,6035
even,3710
scam,16
whatever,885
work,3331
taste,164
deed,23
done,1764
part,1139
buy,570
ranch,49
little,5682
medicine,178
show,1851
back,18064
road,1033
half,1267
chair,1066
gin,136
neck,954
middle,769
dough,25
merchandise,30
look,9430
aint,1765
menu,59
tell,5336
yea,29
prick,128
leaf,1229
stare,743
retreating,33
talk,2858
roger,471
home,2544
let,3595
fix,286
gaze,379
far,1225
finally,1573
rouse,10
like,16502
girl,2604
kitchen,954
compose,21
sweet,498
burro,4
alright,1126
ill,5677
smooth,116
food,774
poisoning,11
something,6332
two,7110
men,2889
rising,246
beyond,445
see,11725
line,1452
staring,1129
car,5224
special,509
treatment,72
cause,1125
handicap,6
bitch,651
call,3020
could,4638
stick,856
as,1139
got,10189
lip,223
midget,29
mother,1791
mary,1274
name,2274
holy,337
lord,446
problem,1036
well,9276
dipped,9
auto,63
mechanic,89
head,6526
disgust,116
grumbling,20
4,328
x,246
position,557
hood,293
several,930
apart,388
help,2957
small,1858
fry,70
difficulty,62
reaching,242
battery,61
give,3477
try,1618
turn,9316
key,450
van,598
right,10314
pall,12
mall,151
gear,269
foot,768
accelerator,39
drop,661
elephant,54
wildly,269
around,8122
45,204
return,446
fire,1702
halt,149
put,2795
front,3376
door,8273
voice,1915
lone,77
weak,196
boom,246
megaphone,22
saw,1452
another,4310
really,4285
magic,223
loser,102
one,14627
empty,892
without,1740
lack,100
reaction,260
real,1969
sick,613
whats,4149
north,244
pole,147
awe,98
never,4593
breaking,305
reverent,3
next,3107
child,632
onto,2058
lap,261
sharp,385
hand,6213
need,4804
sage,16
terrace,27
sleigh,11
absently,54
slightly,504
darting,33
side,3343
reindeer,11
stable,44
sleep,828
noise,470
shop,325
thought,2525
night,2920
adventure,40
gone,1609
