count_of_roles,"name"
61,"Spencer Kayden"
46,"Arnold Montey"
36,"Samantha Kelly"
31,"Jimmy Star"
30,"Greg Bronson"
28,"Mark Falvo"
27,"Frank Welker"
25,"Matt Damon"
24,"Robert De Niro"
21,"Samuel L. Jackson"
21,"Bruce Willis"
21,"Brad Pitt"
20,"Paul McMichael"
20,"Rana Morrison"
19,"Harvey Keitel"
19,"Michael Satterfield"
19,"Sheb Wooley"
19,"Ken Stratton"
18,"Scarlett Johansson"
18,"Willem Dafoe"
18,"Nicolas Cage"
18,"Ewan McGregor"
18,"William H. Macy"
17,"Philip Seymour Hoffman"
17,"Harrison Ford"
17,"Johnny Depp"
17,"Tom Cruise"
16,"Morgan Freeman"
16,"Tom Hanks"
16,"Paul Giamatti"
16,"Sigourney Weaver"
15,"J.K. Simmons"
15,"Liam Neeson"
15,"Tom Wilkinson"
15,"Mark Ruffalo"
15,"Leonardo DiCaprio"
15,"Jim Carrey"
15,"Natalie Portman"
15,"Ben Affleck"
15,"George Clooney"
15,"Mana Hira Davis"
14,"Tom Sizemore"
14,"Don Cheadle"
14,"Steve Buscemi"
14,"Val Kilmer"
14,"Bess Flowers"
14,"Ryan Reynolds"
14,"Joseph Oliveira"
14,"Dee Bradley Baker"
14,"Keanu Reeves"
13,"Will Smith"
13,"Kai Lennox"
13,"Mike Myers"
13,"Brian Cox"
13,"Donald Sutherland"
13,"Xander Berkeley"
13,"Christopher Walken"
13,"Kadrolsha Ona Carole"
13,"Cameron Diaz"
13,"Tracey Walter"
13,"Bill Murray"
13,"Richard Bonehill"
13,"Michael Harrison"
12,"Jennifer Jason Leigh"
12,"Hugh Jackman"
12,"Dan Aykroyd"
12,"Tim Robbins"
12,"Andy Serkis"
12,"Chris Cooper"
12,"Billy Bob Thornton"
12,"Cliff Curtis"
12,"Philip Baker Hall"
12,"Richard Nixon"
12,"Jason Schwartzman"
12,"Alec Baldwin"
12,"Kevin Costner"
12,"Julianne Moore"
12,"William Fichtner"
12,"Christian Bale"
12,"Thomas Rosales Jr."
12,"Shawn Fogarty"
12,"John Goodman"
12,"Bern CollaÃ§o"
11,"Antoni Corone"
11,"Octavia Spencer"
11,"Joseph Gordon-Levitt"
11,"Mark Wahlberg"
11,"Arthur Tovey"
11,"Julia Roberts"
11,"Jerome St. John Blake"
11,"Ving Rhames"
11,"Jude Law"
11,"Kenny Baker"
11,"Stephen Tobolowsky"
11,"Mike Knox"
11,"Paul Rudd"
11,"Woody Harrelson"
11,"Bill Hader"
11,"Michael Caine"
11,"John Rothman"
11,"Joaquin Phoenix"
11,"Bradley Cooper"
11,"Jeff Bridges"
11,"Robert Downey Jr."
11,"Kristen Wiig"
11,"Brittany Krall"
11,"Allan Graf"
11,"Catherine Keener"
11,"Doshia Darmane"
11,"Michael Shannon"
11,"Frances McDormand"
11,"John Turturro"
11,"Jack Nicholson"
11,"Marc Macaulay"
11,"Luis GuzmÃ¡n"
11,"Clint Carleton"
11,"Lance Henriksen"
11,"Allison Janney"
11,"Al Pacino"
11,"Phil Hawn"
11,"Peter Stormare"
11,"Denzel Washington"
11,"Kathy Baker"
11,"Kevin Bacon"
11,"Gerard Butler"
11,"Jason Bateman"
11,"Jack McGee"
11,"Suzanne LaChasse"
11,"Christopher Lee"
10,"Josh Brolin"
10,"Alan Arkin"
10,"M.C. Gainey"
10,"Viola Davis"
10,"Tommy Flanagan"
10,"Donal Logue"
10,"Bill Paxton"
10,"Keith David"
10,"Devin Schumacher"
10,"Gary Oldman"
10,"Rex Linn"
10,"Cate Blanchett"
10,"Tina Simmons"
10,"Ed Harris"
10,"Kevin Corrigan"
10,"Kurt Russell"
10,"Vincent Schiavelli"
10,"Kevin Spacey"
10,"Mark Margolis"
10,"Tilda Swinton"
10,"Paul Herman"
