rank;romantic scenes;action filled dramas;funniest actors ever;heartbreaking roles;saddest movie performances;action-packed movie stars
1;Ryan Gosling;Denzel Washington;Jim Carrey;Tom Hanks;Tom Hanks;Arnold Schwarzenegger
2;Julia Roberts;Tom Cruise;Will Ferrell;Meryl Streep;Anne Hathaway;Sylvester Stallone
3;Hugh Grant;Keanu Reeves;Bill Murray;Leonardo DiCaprio;Leonardo DiCaprio;Bruce Lee
4;Meg Ryan;Angelina Jolie;Eddie Murphy;Natalie Portman;Naomi Watts;Jason Statham
5;Richard Gere;Daniel Craig;Robin Williams;Joaquin Phoenix;Will Smith;Bruce Willis
6;Emma Stone;Charlize Theron;Steve Carell;Viola Davis;Nicole Kidman;Jackie Chan
7;Leonardo DiCaprio;Matt Damon;Adam Sandler;Heath Ledger;Ryan Gosling;Tom Cruise
8;Kate Winslet;Liam Neeson;Melissa McCarthy;Charlize Theron;Michelle Williams;Dwayne Johnson
9;Tom Hanks;Jason Statham;Tina Fey;Eddie Redmayne;Joaquin Phoenix;Keanu Reeves
10;Sandra Bullock;Scarlett Johansson;John Belushi;Brie Larson;Amy Adams;Harrison Ford
11;Paul Rudd;Chris Hemsworth;Leslie Nielsen;Daniel Day-Lewis;Eddie Redmayne;Mel Gibson
12;Jennifer Aniston;Zoe Saldana;Catherine O'Hara;Julianne Moore;Julianne Moore;Clint Eastwood
13;Colin Firth;Gal Gadot;Chevy Chase;Matthew McConaughey;Forest Whitaker;Daniel Craig
14;Rachel McAdams;Michael B. Jordan;John Candy;Hilary Swank;Natalie Portman;Vin Diesel
15;Zac Efron;Vin Diesel;Rodney Dangerfield;Forest Whitaker;Jake Gyllenhaal;Michelle Yeoh
16;Vanessa Hudgens;Michelle Yeoh;Richard Pryor;Kate Winslet;Rooney Mara;Milla Jovovich
17;Channing Tatum;Uma Thurman;Vince Vaughn;Sean Penn;Emma Thompson;Angelina Jolie
18;Jenna Dewan;Bruce Willis;Richard Pryor;Jennifer Lawrence;Brad Pitt;Charlize Theron
19;Blake Lively;Jackie Chan;Vince Vaughn;Adrien Brody;Carey Mulligan;Zoe Saldana
20;Ryan Reynolds;Michael Fassbender;Rowan Atkinson;Reese Witherspoon;Michael Fassbender;Chris Hemsworth
